Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
0,0.335,0.285,0.095,0.253,0.11,0.056,0.075,6
1,0.42,0.34,0.115,0.406,0.1635,0.0655,0.115,10
0,0.635,0.475,0.16,1.0295,0.4655,0.2225,0.32,10
1,0.53,0.41,0.135,0.741,0.346,0.1575,0.194,8
0,0.56,0.44,0.135,0.9425,0.4235,0.199,0.28,12
0,0.595,0.465,0.15,1.153,0.5305,0.247,0.277,9
0,0.56,0.44,0.135,0.8115,0.3415,0.1855,0.23,9
2,0.47,0.34,0.11,0.4195,0.18,0.0925,0.118,8
2,0.455,0.345,0.115,0.4665,0.2025,0.0945,0.1365,9
1,0.585,0.46,0.16,1.053,0.5405,0.2195,0.27,9
2,0.31,0.225,0.075,0.1255,0.0585,0.028,0.0365,6
1,0.535,0.415,0.15,0.873,0.3195,0.1885,0.27,13
1,0.545,0.43,0.15,0.832,0.3525,0.179,0.21,8
0,0.5,0.385,0.125,0.5765,0.2715,0.112,0.175,8
0,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,8
0,0.6,0.475,0.19,1.1035,0.4475,0.2815,0.34,14
2,0.6,0.48,0.14,0.9175,0.38,0.2225,0.29,9
1,0.6,0.475,0.16,1.218,0.5305,0.2975,0.33,11
0,0.575,0.45,0.14,0.906,0.38,0.1325,0.26,14
0,0.565,0.45,0.145,0.908,0.3345,0.2,0.29,13
0,0.59,0.455,0.145,1.09,0.5305,0.2295,0.315,11
1,0.605,0.475,0.17,1.0855,0.469,0.2565,0.3445,10
2,0.355,0.27,0.09,0.2365,0.092,0.05,0.065,6
2,0.45,0.345,0.085,0.3685,0.1595,0.0795,0.125,8
0,0.565,0.44,0.135,0.728,0.302,0.1575,0.26,10
2,0.385,0.29,0.095,0.286,0.1305,0.061,0.082,8
2,0.295,0.22,0.08,0.1295,0.057,0.0235,0.038,5
2,0.45,0.33,0.11,0.4335,0.167,0.0755,0.13,8
1,0.58,0.455,0.15,0.9955,0.3965,0.247,0.26,10
0,0.565,0.46,0.15,0.9605,0.4415,0.1835,0.2775,9
2,0.315,0.25,0.075,0.1405,0.0615,0.027,0.031,6
1,0.605,0.495,0.19,1.129,0.4385,0.224,0.36,13
2,0.38,0.3,0.09,0.247,0.1225,0.044,0.075,8
0,0.56,0.43,0.16,0.8415,0.3965,0.1855,0.2525,11
2,0.29,0.215,0.065,0.1275,0.054,0.028,0.035,6
0,0.585,0.47,0.155,0.9555,0.3665,0.167,0.275,10
0,0.66,0.535,0.18,1.539,0.566,0.2875,0.4085,10
0,0.575,0.44,0.155,0.8295,0.3545,0.1715,0.25,11
2,0.46,0.345,0.11,0.4385,0.1895,0.07,0.12,8
2,0.375,0.295,0.095,0.237,0.1075,0.046,0.08,6
1,0.575,0.44,0.14,0.966,0.4555,0.1805,0.22,8
2,0.32,0.24,0.09,0.1915,0.096,0.03,0.0325,6
0,0.68,0.54,0.185,1.741,0.7665,0.3255,0.4685,11
2,0.28,0.21,0.075,0.1145,0.0515,0.0185,0.035,5
2,0.445,0.335,0.125,0.384,0.163,0.0835,0.1235,8
2,0.27,0.195,0.095,0.1095,0.037,0.031,0.031,7
1,0.545,0.405,0.13,0.957,0.4835,0.1825,0.195,9
1,0.425,0.325,0.105,0.4335,0.188,0.0915,0.105,9
2,0.425,0.325,0.1,0.3555,0.1335,0.0505,0.105,7
2,0.465,0.355,0.14,0.4385,0.1685,0.0835,0.14,11
1,0.435,0.335,0.1,0.406,0.1655,0.086,0.11,8
0,0.695,0.55,0.2,1.7265,0.6725,0.391,0.45,11
0,0.645,0.49,0.165,1.383,0.6785,0.2865,0.41,10
1,0.575,0.46,0.135,0.92,0.3345,0.2275,0.2505,12
0,0.565,0.44,0.135,0.723,0.34,0.142,0.22,9
1,0.58,0.445,0.175,1.089,0.4335,0.2745,0.335,10
0,0.37,0.275,0.085,0.2485,0.111,0.0465,0.0725,8
1,0.575,0.45,0.145,1.0145,0.3865,0.2105,0.25,11
0,0.565,0.455,0.165,0.955,0.3555,0.1935,0.274,11
1,0.565,0.445,0.155,0.906,0.3395,0.2035,0.285,12
0,0.555,0.425,0.145,0.936,0.336,0.1925,0.34,11
1,0.63,0.515,0.19,1.403,0.5145,0.3165,0.47,14
0,0.55,0.415,0.14,0.873,0.3695,0.1725,0.245,14
2,0.485,0.375,0.12,0.5185,0.2605,0.0985,0.159,9
0,0.62,0.475,0.15,0.9065,0.41,0.2075,0.25,9
1,0.6,0.475,0.16,1.0465,0.48,0.2195,0.29,9
0,0.555,0.445,0.13,0.869,0.3485,0.1715,0.2495,9
0,0.605,0.48,0.15,1.1345,0.4335,0.262,0.335,13
0,0.64,0.505,0.175,1.5105,0.75,0.3725,0.3605,11
2,0.38,0.3,0.095,0.2615,0.1185,0.0575,0.075,6
2,0.315,0.23,0.07,0.144,0.059,0.0375,0.047,7
2,0.45,0.35,0.1,0.366,0.1385,0.095,0.109,7
2,0.41,0.325,0.1,0.3245,0.132,0.072,0.103,7
0,0.58,0.45,0.145,0.953,0.3935,0.2145,0.29,9
1,0.575,0.45,0.14,0.867,0.3935,0.1715,0.21,8
0,0.57,0.45,0.14,0.974,0.3685,0.2075,0.27,14
2,0.495,0.375,0.135,0.6245,0.3265,0.1295,0.1525,8
2,0.255,0.19,0.06,0.086,0.04,0.014,0.025,6
2,0.58,0.445,0.14,0.8515,0.334,0.1935,0.251,10
1,0.655,0.52,0.175,1.4435,0.7285,0.3075,0.375,12
0,0.535,0.41,0.13,0.7995,0.347,0.1565,0.21,8
1,0.515,0.405,0.13,0.6965,0.3045,0.1815,0.167,10
1,0.5,0.39,0.145,0.5635,0.248,0.127,0.155,8
1,0.565,0.45,0.165,0.9265,0.3715,0.1725,0.355,14
1,0.635,0.52,0.18,1.2895,0.4865,0.2985,0.45,17
2,0.48,0.355,0.115,0.456,0.21,0.113,0.128,8
2,0.505,0.395,0.135,0.549,0.245,0.1175,0.174,9
0,0.47,0.355,0.125,0.475,0.197,0.1075,0.15,9
0,0.48,0.385,0.155,0.6335,0.2,0.1275,0.225,12
1,0.595,0.48,0.16,1.0475,0.4615,0.2025,0.276,10
2,0.55,0.43,0.155,0.8645,0.419,0.1965,0.2175,9
1,0.655,0.52,0.18,1.38,0.5115,0.306,0.47,13
0,0.64,0.515,0.155,1.1955,0.5565,0.2095,0.4,10
2,0.25,0.185,0.065,0.074,0.0295,0.014,0.0225,5
0,0.66,0.525,0.16,1.2495,0.5675,0.2795,0.3185,10
1,0.66,0.505,0.18,1.5515,0.6625,0.3575,0.49,14
2,0.565,0.415,0.145,0.681,0.3095,0.126,0.1605,8
2,0.52,0.38,0.13,0.524,0.2705,0.0935,0.1575,9
1,0.625,0.46,0.165,1.027,0.4755,0.1965,0.2825,9
1,0.585,0.45,0.14,0.8145,0.3475,0.1905,0.26,11
1,0.5,0.39,0.165,0.8085,0.3395,0.1765,0.255,13
0,0.395,0.3,0.12,0.3485,0.1495,0.086,0.095,9
2,0.53,0.405,0.13,0.6385,0.3015,0.1405,0.171,8
0,0.575,0.465,0.155,1.155,0.5455,0.261,0.3245,9
1,0.58,0.465,0.145,0.9905,0.453,0.242,0.275,11
0,0.665,0.525,0.19,1.496,0.6975,0.3725,0.4115,11
0,0.52,0.435,0.16,0.872,0.3245,0.2315,0.259,11
1,0.565,0.495,0.18,1.185,0.3965,0.2585,0.39,15
2,0.605,0.475,0.145,0.9235,0.4145,0.195,0.2705,11
2,0.55,0.445,0.15,0.8115,0.3945,0.171,0.24,9
0,0.5,0.39,0.125,0.5955,0.2555,0.1265,0.19,8
2,0.3,0.215,0.075,0.1115,0.048,0.0205,0.03,6
2,0.21,0.15,0.04,0.0265,0.009,0.005,0.0095,4
2,0.53,0.415,0.145,0.783,0.2945,0.158,0.245,11
0,0.59,0.465,0.165,1.1005,0.506,0.2525,0.295,13
2,0.305,0.22,0.07,0.1535,0.074,0.0395,0.035,7
0,0.57,0.44,0.14,0.858,0.407,0.1985,0.2245,10
0,0.62,0.47,0.17,1.3475,0.4995,0.2565,0.49,12
0,0.28,0.21,0.06,0.1045,0.034,0.0285,0.03,5
2,0.46,0.355,0.105,0.467,0.19,0.11,0.159,8
0,0.61,0.485,0.155,1.053,0.457,0.2365,0.285,8
0,0.64,0.495,0.175,1.3205,0.667,0.3115,0.336,9
2,0.255,0.19,0.07,0.084,0.0275,0.014,0.0285,4
0,0.6,0.465,0.125,1.011,0.3835,0.2065,0.255,15
0,0.59,0.5,0.16,1.063,0.414,0.216,0.375,20
2,0.37,0.275,0.11,0.2305,0.098,0.045,0.065,7
2,0.555,0.425,0.15,0.8685,0.391,0.1625,0.2415,8
0,0.625,0.475,0.175,1.247,0.4335,0.2435,0.47,13
1,0.44,0.32,0.13,0.4405,0.152,0.0955,0.155,11
2,0.275,0.195,0.07,0.0935,0.037,0.0155,0.025,5
2,0.33,0.25,0.075,0.1895,0.079,0.0415,0.05,7
0,0.545,0.425,0.115,0.639,0.3065,0.1285,0.2,8
0,0.5,0.375,0.12,0.6345,0.2935,0.124,0.1615,9
2,0.42,0.3,0.09,0.2975,0.1265,0.0585,0.08,7
2,0.29,0.23,0.08,0.1385,0.056,0.0235,0.0395,5
0,0.595,0.455,0.145,0.9815,0.4615,0.1895,0.26,10
2,0.515,0.4,0.135,0.636,0.3035,0.1215,0.1755,8
2,0.415,0.325,0.1,0.4665,0.2025,0.1015,0.105,8
0,0.44,0.335,0.11,0.3835,0.177,0.073,0.1165,8
2,0.325,0.24,0.075,0.152,0.065,0.0305,0.044,6
1,0.5,0.375,0.125,0.5745,0.229,0.118,0.17,8
2,0.485,0.37,0.115,0.5195,0.216,0.1025,0.131,7
1,0.775,0.57,0.205,2.032,0.58,0.4075,0.625,20
1,0.695,0.56,0.165,1.74,0.8145,0.3905,0.4375,11
1,0.58,0.45,0.15,0.875,0.3335,0.2155,0.1935,10
0,0.57,0.42,0.14,0.873,0.4095,0.1625,0.223,8
1,0.57,0.44,0.145,0.9525,0.3445,0.1965,0.345,23
1,0.6,0.495,0.18,1.247,0.4695,0.216,0.505,20
1,0.57,0.455,0.19,0.966,0.4445,0.1635,0.25,12
2,0.535,0.42,0.15,0.7665,0.347,0.134,0.2065,8
0,0.52,0.4,0.14,0.6955,0.2795,0.161,0.2,10
1,0.695,0.56,0.185,1.5395,0.5885,0.3125,0.4675,12
0,0.575,0.45,0.17,1.066,0.4635,0.239,0.25,10
0,0.57,0.45,0.15,1.186,0.539,0.284,0.3305,10
0,0.595,0.465,0.13,0.9165,0.4135,0.1625,0.22,9
1,0.505,0.385,0.12,0.7085,0.2985,0.1605,0.1605,9
1,0.355,0.27,0.095,0.203,0.076,0.059,0.0635,6
0,0.62,0.51,0.175,1.325,0.5845,0.325,0.3,10
2,0.525,0.4,0.12,0.6905,0.3335,0.1395,0.1895,8
0,0.585,0.44,0.165,0.9555,0.366,0.2425,0.295,12
1,0.52,0.41,0.145,0.7145,0.289,0.1765,0.209,8
0,0.575,0.455,0.145,0.9745,0.4145,0.2185,0.265,15
0,0.6,0.455,0.16,0.8875,0.419,0.1915,0.269,9
2,0.31,0.225,0.075,0.12,0.0415,0.03,0.045,5
2,0.415,0.305,0.1,0.2815,0.1255,0.065,0.085,7
2,0.315,0.23,0.07,0.1375,0.0595,0.0265,0.045,7
0,0.295,0.17,0.085,0.1195,0.0475,0.0275,0.021,4
2,0.305,0.225,0.07,0.1485,0.056,0.0335,0.045,6
2,0.155,0.115,0.025,0.0155,0.0065,0.002,0.005,3
1,0.595,0.465,0.145,0.9615,0.4545,0.214,0.29,14
0,0.7,0.525,0.185,1.5715,0.6935,0.306,0.4505,12
2,0.505,0.375,0.125,0.592,0.2635,0.1405,0.17,8
0,0.44,0.335,0.11,0.4135,0.1895,0.0935,0.105,9
1,0.6,0.47,0.165,1.0735,0.4235,0.2,0.34,10
1,0.595,0.475,0.18,1.1215,0.5205,0.2305,0.305,13
2,0.35,0.265,0.075,0.1825,0.0785,0.0405,0.05,6
0,0.67,0.51,0.17,1.4385,0.6215,0.3365,0.345,11
1,0.575,0.435,0.17,1.073,0.4355,0.2235,0.355,15
1,0.65,0.525,0.19,1.4635,0.6275,0.3315,0.46,20
1,0.65,0.515,0.175,1.5915,0.724,0.3315,0.3765,10
2,0.4,0.315,0.1,0.2875,0.1125,0.063,0.085,7
2,0.385,0.315,0.1,0.281,0.106,0.053,0.0965,8
1,0.555,0.455,0.15,0.958,0.296,0.175,0.38,12
2,0.525,0.43,0.14,0.741,0.2875,0.1535,0.235,18
0,0.61,0.44,0.135,0.834,0.3125,0.1825,0.24,8
1,0.66,0.485,0.165,1.2495,0.5635,0.3085,0.3395,10
2,0.415,0.325,0.1,0.3245,0.132,0.071,0.106,7
2,0.365,0.29,0.09,0.257,0.1015,0.055,0.083,6
2,0.52,0.395,0.155,0.6445,0.2415,0.1325,0.22,9
1,0.66,0.5,0.19,1.523,0.7245,0.3255,0.41,11
0,0.44,0.345,0.11,0.3645,0.1285,0.075,0.109,9
2,0.21,0.11,0.045,0.045,0.0105,0.005,0.0125,4
2,0.415,0.31,0.095,0.2875,0.1245,0.061,0.081,8
1,0.625,0.47,0.16,1.2125,0.5885,0.23,0.301,9
1,0.52,0.405,0.135,0.6625,0.2475,0.142,0.184,8
2,0.28,0.205,0.06,0.1165,0.0415,0.0225,0.0335,5
1,0.635,0.48,0.16,0.9955,0.3945,0.272,0.285,12
2,0.505,0.385,0.135,0.622,0.2855,0.1315,0.17,9
1,0.57,0.43,0.145,0.8745,0.453,0.161,0.26,16
0,0.585,0.465,0.145,0.9455,0.3865,0.2185,0.28,14
0,0.58,0.45,0.125,0.886,0.41,0.1905,0.235,8
1,0.545,0.435,0.16,0.9185,0.3935,0.2285,0.255,11
0,0.47,0.35,0.145,0.5325,0.1885,0.12,0.195,19
1,0.535,0.41,0.135,0.7365,0.3165,0.1455,0.1895,7
0,0.585,0.465,0.145,0.955,0.3935,0.2035,0.2485,11
0,0.545,0.42,0.14,0.9265,0.3,0.1895,0.32,13
0,0.6,0.455,0.165,1.1345,0.412,0.2165,0.3,16
2,0.285,0.21,0.055,0.0925,0.039,0.021,0.031,5
2,0.255,0.185,0.08,0.088,0.0365,0.021,0.023,5
0,0.645,0.505,0.165,1.4385,0.4865,0.2875,0.45,15
2,0.36,0.265,0.09,0.1845,0.0775,0.041,0.055,7
2,0.27,0.2,0.07,0.1,0.034,0.0185,0.035,6
0,0.47,0.35,0.13,0.4625,0.186,0.107,0.145,8
2,0.46,0.35,0.11,0.4595,0.1735,0.089,0.14,13
0,0.615,0.485,0.155,1.0815,0.5265,0.241,0.27,9
2,0.28,0.21,0.08,0.1115,0.049,0.0195,0.0315,7
1,0.62,0.485,0.16,1.0395,0.3485,0.2185,0.385,16
1,0.53,0.425,0.14,0.7355,0.3065,0.1935,0.2185,9
0,0.625,0.515,0.165,1.217,0.667,0.2375,0.3115,9
2,0.515,0.435,0.11,0.572,0.237,0.106,0.184,8
2,0.275,0.2,0.065,0.095,0.0275,0.0185,0.03,5
2,0.42,0.3,0.115,0.335,0.1315,0.0755,0.09,6
1,0.66,0.515,0.2,1.369,0.5305,0.26,0.47,12
2,0.335,0.245,0.08,0.1575,0.066,0.033,0.044,7
1,0.405,0.305,0.105,0.32,0.147,0.0755,0.09,7
2,0.35,0.26,0.08,0.1775,0.0735,0.04,0.0575,6
2,0.465,0.37,0.125,0.4955,0.2155,0.097,0.1505,9
2,0.38,0.3,0.1,0.3025,0.147,0.062,0.0755,7
2,0.335,0.235,0.085,0.18,0.079,0.039,0.055,6
0,0.545,0.42,0.175,0.9685,0.358,0.1805,0.355,15
2,0.43,0.33,0.1,0.449,0.254,0.087,0.097,8
0,0.605,0.49,0.165,1.1885,0.486,0.277,0.394,11
1,0.6,0.475,0.18,1.2425,0.5135,0.2565,0.335,14
2,0.3,0.23,0.07,0.1445,0.058,0.0265,0.0405,5
2,0.475,0.355,0.115,0.4755,0.1865,0.1045,0.15,9
2,0.295,0.22,0.08,0.1235,0.0565,0.0275,0.0335,7
0,0.625,0.47,0.175,1.4355,0.587,0.297,0.32,9
1,0.675,0.545,0.18,1.4985,0.63,0.3525,0.4395,10
0,0.635,0.5,0.175,1.2435,0.5235,0.2615,0.3465,10
0,0.52,0.405,0.125,0.6295,0.2955,0.1385,0.17,10
1,0.62,0.47,0.155,1.122,0.4765,0.2145,0.3095,10
2,0.5,0.38,0.135,0.606,0.239,0.1265,0.18,10
2,0.535,0.435,0.15,0.8415,0.3435,0.1635,0.295,9
1,0.645,0.51,0.19,1.4095,0.6115,0.314,0.3965,10
0,0.63,0.5,0.15,1.0835,0.4815,0.2475,0.33,11
2,0.525,0.435,0.125,0.578,0.239,0.1065,0.185,8
2,0.47,0.355,0.125,0.4795,0.2055,0.1065,0.145,9
1,0.58,0.47,0.155,1.0385,0.4145,0.2345,0.315,19
1,0.595,0.475,0.16,1.0565,0.377,0.2315,0.335,13
2,0.4,0.3,0.085,0.2805,0.108,0.0655,0.1035,7
0,0.585,0.46,0.175,1.0515,0.4025,0.225,0.307,9
0,0.495,0.385,0.135,0.7575,0.293,0.1665,0.24,15
0,0.59,0.47,0.165,1.013,0.4835,0.2175,0.295,13
2,0.565,0.44,0.16,0.8295,0.3645,0.1585,0.25,8
2,0.49,0.37,0.135,0.5345,0.2205,0.0925,0.1535,8
2,0.385,0.305,0.1,0.262,0.1255,0.0505,0.085,7
0,0.515,0.415,0.145,0.6765,0.2595,0.1415,0.27,11
0,0.465,0.355,0.12,0.4155,0.18,0.07,0.135,8
1,0.57,0.44,0.135,0.832,0.3125,0.1615,0.26,14
0,0.615,0.475,0.16,1.1025,0.4985,0.2395,0.315,9
0,0.675,0.525,0.19,1.6705,0.7295,0.3735,0.435,10
1,0.615,0.475,0.19,1.038,0.3615,0.224,0.36,17
0,0.625,0.485,0.17,1.137,0.5565,0.2355,0.287,9
1,0.565,0.44,0.165,0.998,0.445,0.214,0.2485,9
2,0.505,0.405,0.145,0.674,0.2985,0.1245,0.208,10
0,0.6,0.42,0.155,0.852,0.32,0.19,0.275,10
1,0.525,0.41,0.13,0.7635,0.3155,0.1655,0.19,9
0,0.565,0.45,0.15,0.8285,0.3275,0.1715,0.245,13
1,0.44,0.34,0.115,0.407,0.1685,0.083,0.13,9
1,0.53,0.425,0.13,0.7775,0.2875,0.2005,0.195,9
2,0.385,0.3,0.1,0.2985,0.1385,0.0475,0.08,8
2,0.37,0.28,0.095,0.34,0.1625,0.0485,0.08,6
1,0.705,0.56,0.205,1.6255,0.6255,0.3255,0.45,12
1,0.46,0.34,0.12,0.4195,0.1945,0.1005,0.12,7
2,0.285,0.225,0.055,0.101,0.0415,0.017,0.0335,6
2,0.32,0.245,0.09,0.1515,0.056,0.0385,0.045,6
0,0.575,0.475,0.16,0.966,0.4395,0.212,0.274,9
0,0.48,0.365,0.125,0.5305,0.2405,0.097,0.1325,8
2,0.255,0.195,0.055,0.0835,0.0305,0.0185,0.02,4
2,0.42,0.32,0.1,0.3795,0.1895,0.0815,0.105,7
2,0.535,0.42,0.14,0.7275,0.3125,0.1225,0.215,10
